hotel_name,review_id,value_star,location_star,cleanliness_star,service_star,rooms_star,sleep_quality,star_rating
Eliot Hotel,review_7848307,4,5,4,5,5,,5
Hotel Commonwealth,review_118037041,3,5,,4,4,,4
The Verb Hotel,review_299516405,4,,4,5,,,4
Hilton Boston Logan Airport,review_361486437,,,,,,,5
Residence Inn Boston Harbor on Tudor Wharf,review_431211347,,,,5,5,5,5
InterContinental Boston,review_389227064,3,4,5,5,5,5,5
Kimpton Onyx Hotel,review_251686812,5,,5,5,,,5
Boston Park Plaza,review_427109703,2,5,4,5,2,4,3
Boston Park Plaza,review_373490538,,4,4,4,3,4,4
Colonnade Hotel,review_392971882,,,,,,,4
Loews Boston Hotel,review_178490093,3,5,5,5,3,5,4
The Midtown Hotel,review_258462607,4,5,5,5,5,5,4
Hilton Boston Back Bay,review_190107445,5,5,5,5,5,5,5
Seaport Boston Hotel,review_308413684,3,3,5,5,5,4,5
Residence Inn Boston Back Bay/Fenway,review_396621552,,,,,,,5
Hyatt Regency Boston,review_269176587,5,5,5,5,5,5,5
Omni Parker House,review_6779555,,,,,,,4
Lenox Hotel,review_34793607,5,5,5,5,5,,5
Seaport Boston Hotel,review_291327819,4,4,4,4,4,4,4
Hyatt Regency Boston,review_326417011,4,4,5,5,5,5,5
XV Beacon,review_145070766,4,5,5,5,5,5,5
Omni Parker House,review_376452965,,,,,,,5
The Midtown Hotel,review_129703245,1,4,3,1,1,1,1
Seaport Boston Hotel,review_143032535,3,5,5,5,5,5,5
InterContinental Boston,review_429856971,5,5,5,5,5,5,5
Omni Parker House,review_28750176,5,5,5,5,5,,5
Courtyard Boston Logan Airport,review_167163403,2,3,3,1,3,3,2
"The Langham, Boston",review_252274660,,5,,5,5,,5
Loews Boston Hotel,review_248502256,5,5,5,5,4,5,5
The Boston Common Hotel and Conference Center,review_133115429,1,5,2,2,2,4,2
DoubleTree Suites by Hilton Boston-Cambridge,review_203664476,3,4,4,3,3,4,4
The Verb Hotel,review_384284266,5,,,5,,5,5
Revere Hotel Boston Common,review_135138782,5,5,5,5,5,5,5
InterContinental Boston,review_429836919,5,5,5,5,5,5,5
"Fairmont Copley Plaza, Boston",review_233372403,1,4,3,2,2,3,2
Copley Square Hotel,review_118585900,4,5,5,5,4,5,5
Boston Park Plaza,review_425905883,,,,,,,4
Hotel Commonwealth,review_200868674,,5,,5,,,5
Omni Parker House,review_115633501,5,,5,5,,5,5
Seaport Boston Hotel,review_141458382,3,5,5,5,5,3,5
Hotel Commonwealth,review_140976121,5,5,5,5,5,5,5
The Bostonian Boston,review_195125357,5,5,5,5,5,5,5
The Inn at Longwood Medical,review_133385593,5,5,5,5,5,5,5
The Inn At St Botolph,review_22725701,5,5,5,5,5,,5
Renaissance Boston Waterfront Hotel,review_302716322,3,,,3,4,,4
W Boston,review_365506432,,,5,5,5,,5
DoubleTree Club by Hilton Hotel Boston Bayside,review_129612507,4,3,5,5,4,5,4
Embassy Suites by Hilton Boston - at Logan Airport,review_145197167,4,3,4,3,4,4,4
Colonnade Hotel,review_13804211,5,5,5,5,5,,5
Boston Harbor Hotel,review_219350652,,,5,4,4,,4
Courtyard Boston Copley Square,review_280872084,,,5,5,,5,5
The Bostonian Boston,review_4049435,,,,,,,4
"The Westin Copley Place, Boston",review_132455907,3,4,4,3,4,5,3
"Ames Boston Hotel, Curio Collection by Hilton",review_79568465,5,5,5,5,5,5,5
"Battery Wharf Hotel, Boston Waterfront",review_143470752,4,4,5,5,5,5,5
Four Seasons Hotel Boston,review_239947112,,,,,,,4
InterContinental Boston,review_117604497,4,,4,5,,5,5
W Boston,review_120176475,4,5,4,5,4,4,4
DoubleTree Suites by Hilton Boston-Cambridge,review_156141171,3,5,4,4,4,4,4
The Godfrey Hotel Boston,review_430071512,5,5,5,5,5,5,5
Hotel Commonwealth,review_128523301,4,5,4,5,4,5,5
"Fairmont Copley Plaza, Boston",review_347236703,,,,,,,5
"The Langham, Boston",review_212757152,4,4,5,5,5,5,5
Boston Marriott Long Wharf,review_352157369,,5,4,4,,,4
Hilton Boston Logan Airport,review_294403342,,,5,5,2,,3
The Godfrey Hotel Boston,review_391764987,4,5,5,5,4,5,4
Hilton Boston Back Bay,review_422771525,5,,5,5,5,5,5
Element Boston Seaport,review_396936602,,,,5,5,,5
Seaport Boston Hotel,review_313199038,5,5,5,5,5,4,5
Hyatt Regency Boston,review_255365985,5,5,5,5,5,5,5
Seaport Boston Hotel,review_397440089,5,,,5,,5,5
Hilton Boston Logan Airport,review_411761946,,,,,,,4
Milner Hotel,review_11254720,,,,,,,4
Renaissance Boston Waterfront Hotel,review_36828258,2,2,2,1,3,,3
Hilton Boston Logan Airport,review_295833840,,,5,4,,5,4
The Midtown Hotel,review_238743839,3,5,5,5,4,4,4
Hilton Boston Back Bay,review_303259364,1,,,1,,1,1
Hilton Boston Logan Airport,review_167751343,3,5,5,5,1,,4
Seaport Boston Hotel,review_413391211,4,4,5,5,5,4,5
Seaport Boston Hotel,review_314439919,,4,,5,5,,5
Omni Parker House,review_429923611,4,5,5,5,5,5,5
DoubleTree Club by Hilton Hotel Boston Bayside,review_426070160,1,2,3,1,3,3,1
Renaissance Boston Waterfront Hotel,review_270887524,,4,,4,4,,4
Kimpton Onyx Hotel,review_392844826,,5,,5,4,,5
The Godfrey Hotel Boston,review_428422367,5,5,5,5,5,5,5
The Midtown Hotel,review_424413968,5,5,5,5,5,5,5
The Verb Hotel,review_416445371,,,,,,,5
Hotel 140,review_389413252,4,5,5,5,4,4,4
Charlesmark Hotel,review_129327361,5,5,5,5,4,4,4
Hotel Commonwealth,review_241878396,,5,,5,5,,5
Copley Square Hotel,review_126231372,5,5,5,5,4,,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_369705263,,,,,,,5
Colonnade Hotel,review_400148190,,5,,4,,5,5
Kimpton Nine Zero Hotel,review_84733732,4,5,4,5,5,5,5
Club Quarters Hotel in Boston,review_120140902,5,5,5,5,4,3,5
InterContinental Boston,review_204333170,3,4,4,4,4,5,4
"The Langham, Boston",review_231394372,,,,,,,5
Lenox Hotel,review_179464490,5,5,5,5,5,5,5
Loews Boston Hotel,review_354438522,3,5,,5,,,4
Boston Park Plaza,review_411628236,,,,2,3,1,2
Hilton Boston Back Bay,review_236866057,3,4,3,3,3,3,3
Hilton Boston Back Bay,review_393730058,,,,,,,5
Hotel Commonwealth,review_230186656,,,,5,5,5,5
DoubleTree Suites by Hilton Boston-Cambridge,review_241917163,5,5,5,5,5,5,5
Hilton Boston Back Bay,review_253899584,,,3,,4,,4
Loews Boston Hotel,review_311012210,,,,3,4,5,4
Revere Hotel Boston Common,review_149155490,4,5,5,5,5,,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_193018498,,,,,,,5
"The Westin Copley Place, Boston",review_363678662,5,,5,5,,,5
"The Envoy Hotel, Autograph Collection",review_311002024,,5,,5,5,,5
The Midtown Hotel,review_240826499,3,5,3,4,3,3,3
Lenox Hotel,review_121496332,4,5,4,4,5,,4
Residence Inn Boston Back Bay/Fenway,review_207565833,3,5,5,5,5,5,5
Hilton Boston Back Bay,review_103082747,4,4,4,4,4,4,4
Wyndham Boston Beacon Hill,review_423818579,4,5,5,5,5,5,4
Seaport Boston Hotel,review_345290028,,,,,,,5
The Bostonian Boston,review_87082838,3,5,5,4,5,5,5
Revere Hotel Boston Common,review_241995833,,4,,5,,5,5
Revere Hotel Boston Common,review_163726694,3,5,5,4,5,5,5
Chandler Inn,review_358565732,4,,5,5,,,4
The Westin Boston Waterfront,review_182819456,4,4,5,4,5,5,4
Seaport Boston Hotel,review_377752095,,,,,,,5
Chandler Inn,review_156065716,5,5,5,5,5,5,5
Courtyard Boston Copley Square,review_281402870,,,,,,,5
Hotel Commonwealth,review_179695874,4,5,5,5,5,5,5
Embassy Suites by Hilton Boston - at Logan Airport,review_218379053,5,5,5,5,5,5,5
The Godfrey Hotel Boston,review_378585265,5,5,5,5,5,5,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_119158645,5,5,5,5,5,4,5
The Boxer Boston,review_185361931,3,5,5,5,5,4,4
Omni Parker House,review_292299016,,5,5,5,,,5
Hotel Commonwealth,review_168358187,5,4,5,5,5,5,5
Embassy Suites by Hilton Boston - at Logan Airport,review_56311711,5,5,5,5,5,5,5
DoubleTree by Hilton Hotel Boston - Downtown,review_304262543,5,5,5,5,5,5,5
Colonnade Hotel,review_183102270,,,,,,,5
The Godfrey Hotel Boston,review_431027326,,,,4,4,4,4
Eliot Hotel,review_5797768,4,4,4,2,4,,4
DoubleTree Suites by Hilton Boston-Cambridge,review_391424908,,,,,,,4
InterContinental Boston,review_158752787,5,5,4,5,5,4,5
Hotel Commonwealth,review_232215749,,,5,5,,5,5
DoubleTree by Hilton Hotel Boston - Downtown,review_293056595,4,,,4,4,,4
Days Hotel Boston-Harvard Fenway,review_107587520,4,3,2,3,4,,3
Hotel Commonwealth,review_141364560,4,4,5,4,5,5,5
Omni Parker House,review_418542297,5,5,5,5,5,5,5
Embassy Suites by Hilton Boston - at Logan Airport,review_252187538,5,5,5,5,5,5,5
Omni Parker House,review_246990680,5,,,5,,4,5
Club Quarters Hotel in Boston,review_423902121,,,,,,,5
Boston Harbor Hotel,review_12308476,4,5,5,5,5,,5
The Verb Hotel,review_296870254,,,2,1,,1,1
Hyatt Regency Boston Harbor,review_413760337,3,3,3,3,3,3,3
Renaissance Boston Waterfront Hotel,review_101527151,4,4,5,4,5,4,5
Omni Parker House,review_237216913,5,5,5,5,5,5,5
Hotel Boston,review_178820798,5,4,3,5,4,4,4
Hotel Commonwealth,review_338265522,,,,,,,5
Colonnade Hotel,review_328097777,,,,,,,5
Revere Hotel Boston Common,review_426462109,3,5,3,4,3,4,4
Boston Marriott Copley Place,review_79923940,5,5,4,5,5,5,5
Hilton Boston Back Bay,review_259204393,4,5,5,4,5,5,5
Copley Square Hotel,review_119251910,5,5,5,5,5,5,5
Hyatt Regency Boston Harbor,review_153622663,5,5,5,4,4,4,4
"Ames Boston Hotel, Curio Collection by Hilton",review_214915714,,,,,,,5
Omni Parker House,review_73011987,1,5,1,2,1,2,1
Omni Parker House,review_326143150,,,5,5,3,,4
Hilton Boston Logan Airport,review_352489368,,,4,4,4,,4
Colonnade Hotel,review_169080865,,,,,,,4
The Inn at Longwood Medical,review_163515223,4,5,3,5,3,4,3
Club Quarters Hotel in Boston,review_261141562,,,,,,,5
"The Westin Copley Place, Boston",review_181210892,3,3,3,3,3,3,3
Hotel Commonwealth,review_78924307,4,5,4,4,3,3,4
Harborside Inn,review_71772902,4,5,5,5,5,5,5
Lenox Hotel,review_128872609,5,5,5,5,5,5,5
Colonnade Hotel,review_130477944,5,5,4,5,4,5,4
InterContinental Boston,review_325486334,,5,,5,5,,5
Club Quarters Hotel in Boston,review_117985697,5,,5,5,,5,5
The Midtown Hotel,review_341199602,2,4,3,3,3,2,3
Embassy Suites by Hilton Boston - at Logan Airport,review_396683212,2,,,4,,3,2
Lenox Hotel,review_70522934,5,5,5,5,5,5,5
Wyndham Boston Beacon Hill,review_244886047,3,4,3,4,4,4,4
InterContinental Boston,review_326330351,3,,,3,,5,3
Loews Boston Hotel,review_212072802,3,5,5,5,4,5,4
Revere Hotel Boston Common,review_382954362,,,5,3,,5,4
Boston Marriott Long Wharf,review_152905691,4,5,4,5,4,5,4
Wyndham Boston Beacon Hill,review_348522802,,,5,5,,5,4
Holiday Inn Express Boston,review_183409120,,,,,,,5
Hyatt Regency Boston,review_121699669,5,5,5,5,5,5,5
"The Westin Copley Place, Boston",review_387276257,,,,,,,5
Sheraton Boston Hotel,review_330188518,,,,,,,4
Charlesmark Hotel,review_120383189,2,5,4,3,3,3,3
DoubleTree Suites by Hilton Boston-Cambridge,review_52365409,,,,,,,4
Copley Square Hotel,review_37092589,5,5,5,5,5,,5
Courtyard Boston Logan Airport,review_417742546,5,4,,4,,,4
Revere Hotel Boston Common,review_191562537,5,5,5,5,4,5,4
Embassy Suites by Hilton Boston - at Logan Airport,review_229242481,3,,,4,,3,3
"The Langham, Boston",review_331102147,,,,5,,,5
Colonnade Hotel,review_185657897,3,5,5,5,5,5,5
The Midtown Hotel,review_374355585,5,,,5,,5,4
Charlesmark Hotel,review_325008261,5,,5,5,,,5
Residence Inn Boston Downtown/Seaport,review_197839663,5,5,5,5,5,5,5
"The Liberty, A Luxury Collection Hotel",review_363518340,,,,1,4,4,2
Wyndham Boston Beacon Hill,review_290556473,2,5,1,3,3,4,2
Hilton Boston Back Bay,review_175163902,1,4,4,3,3,1,3
Boston Harbor Hotel,review_132816622,5,5,5,5,5,5,5
Kimpton Nine Zero Hotel,review_121237519,5,5,5,5,5,5,5
Residence Inn Boston Back Bay/Fenway,review_216696245,,,5,,,,5
BEST WESTERN PLUS Roundhouse Suites,review_307201255,5,,,5,,5,5
Lenox Hotel,review_200818587,5,5,5,5,5,5,5
Copley House,review_300902067,,,,,,,2
Hyatt Regency Boston Harbor,review_13755452,4,4,4,4,5,,4
The Inn at Longwood Medical,review_175563433,5,5,5,5,5,,5
"The Westin Copley Place, Boston",review_8500545,5,5,5,5,5,,5
Copley House,review_178649887,4,5,3,2,2,3,3
Boston Marriott Long Wharf,review_153091306,3,5,5,5,5,5,5
Courtyard Boston Copley Square,review_172238579,2,5,3,3,2,3,3
The Bostonian Boston,review_174468223,5,5,5,5,5,5,5
Hyatt Regency Boston,review_247769787,,,,,,,4
Hotel 140,review_121458514,3,4,3,1,3,3,2
BEST WESTERN PLUS Roundhouse Suites,review_193078798,,,,,,,3
Residence Inn Boston Back Bay/Fenway,review_426835133,,,,,,,5
Hyatt Regency Boston,review_209958512,2,4,5,3,3,3,3
Revere Hotel Boston Common,review_170691229,5,5,5,5,5,5,5
Hilton Boston Back Bay,review_336798094,,4,,4,3,,4
Hilton Boston Logan Airport,review_359947239,4,5,,5,5,5,5
Hilton Garden Inn Boston Logan Airport,review_384855121,3,4,5,5,4,5,4
Taj Boston,review_334877005,3,,,4,4,,4
Seaport Boston Hotel,review_118079135,5,5,,5,5,,5
Hyatt Regency Boston Harbor,review_20110013,4,5,5,2,5,,4
Eliot Hotel,review_252471729,5,,,5,5,,5
Boston Marriott Copley Place,review_139388067,4,5,5,4,4,5,5
Kimpton Nine Zero Hotel,review_56497608,5,5,5,5,4,5,5
"The Westin Copley Place, Boston",review_142789740,2,4,3,3,3,4,3
Hilton Boston Logan Airport,review_275417963,,5,,5,,5,4
DoubleTree Suites by Hilton Boston-Cambridge,review_125247537,5,5,5,5,5,5,5
Seaport Boston Hotel,review_370773077,,,,5,5,5,5
Kimpton Onyx Hotel,review_37519047,4,2,5,5,4,,4
Harborside Inn,review_179112051,4,5,4,5,4,4,4
The Boxer Boston,review_270454383,,,5,5,5,,5
The Bostonian Boston,review_310177920,,,,,,,5
"The Westin Copley Place, Boston",review_237192638,3,5,,4,,,4
The Westin Boston Waterfront,review_259372127,,4,5,3,,,3
Renaissance Boston Waterfront Hotel,review_394062967,4,5,,5,,,5
Lenox Hotel,review_228870571,,5,5,5,,,5
Kimpton Onyx Hotel,review_7949153,5,5,5,5,5,,5
The Westin Boston Waterfront,review_432112467,3,,,5,,5,5
Revere Hotel Boston Common,review_429075949,4,5,5,4,4,3,4
Seaport Boston Hotel,review_284097253,5,5,5,5,5,5,5
"The Envoy Hotel, Autograph Collection",review_421944431,,,,,,,3
"Ames Boston Hotel, Curio Collection by Hilton",review_196590760,5,5,5,4,5,5,5
"The Liberty, A Luxury Collection Hotel",review_405936483,,,,,,,4
Club Quarters Hotel in Boston,review_166337238,,,,,,,4
The Bostonian Boston,review_218533461,,,,,,,5
Hilton Boston Logan Airport,review_153672849,3,5,5,3,4,4,3
Eliot Hotel,review_243907183,,,5,5,5,,5
Taj Boston,review_126189806,3,5,4,5,4,4,4
The Westin Boston Waterfront,review_16433765,4,2,5,3,4,,3
Hotel 140,review_118468132,,,,1,,,1
The Midtown Hotel,review_76614659,5,5,3,4,3,3,3
Courtyard Boston Copley Square,review_430722260,,5,,5,5,,5
Hilton Boston Downtown / Faneuil Hall,review_139053187,5,5,5,5,5,5,5
Hilton Boston Logan Airport,review_319716021,3,5,5,5,5,5,5
Courtyard Boston Copley Square,review_336090218,3,,,3,3,,3
Revere Hotel Boston Common,review_158854103,4,5,5,5,4,5,4
Revere Hotel Boston Common,review_157556661,4,5,5,5,4,,5
Hilton Boston Back Bay,review_48085513,5,5,4,4,4,,4
"The Langham, Boston",review_398057714,,,5,5,5,,4
"The Langham, Boston",review_171536382,4,4,5,5,5,5,5
"The Westin Copley Place, Boston",review_162314448,2,5,4,3,3,4,3
XV Beacon,review_24442592,3,3,4,4,3,,4
Copley Square Hotel,review_188146351,,,,,,,4
The Verb Hotel,review_420311664,,4,,5,,4,5
"Fairmont Copley Plaza, Boston",review_4580958,1,,1,1,1,,1
Taj Boston,review_384165423,3,5,4,4,4,3,4
Omni Parker House,review_3473470,4,,5,5,5,,5
Days Hotel Boston-Harvard Fenway,review_265558955,3,5,1,3,2,1,2
InterContinental Boston,review_184619992,4,5,5,5,5,5,5
Omni Parker House,review_114995597,4,,5,5,,5,5
Hilton Boston Back Bay,review_151620158,3,5,3,4,4,5,3
DoubleTree Club by Hilton Hotel Boston Bayside,review_417346335,,,,,,,3
Aloft Boston Seaport,review_414732154,,5,,5,,5,5
enVision Hotel Boston - Longwood,review_270811704,5,5,5,5,5,5,5
The Midtown Hotel,review_312836579,,,4,4,,4,3
Chandler Inn,review_121693701,5,4,5,5,5,5,5
The Inn At St Botolph,review_196049779,1,4,1,1,1,1,1
"The Westin Copley Place, Boston",review_154598091,5,5,5,5,3,5,4
DoubleTree Club by Hilton Hotel Boston Bayside,review_387964670,,,,,,,4
"Fairmont Copley Plaza, Boston",review_281461466,,,,5,5,5,5
Wyndham Boston Beacon Hill,review_172355947,3,4,4,4,5,4,4
"The Westin Copley Place, Boston",review_139684699,4,5,4,5,5,5,5
Sheraton Boston Hotel,review_404694937,,,5,5,,5,5
The Verb Hotel,review_364915804,,,,,,,5
Holiday Inn Express Boston,review_282762167,,2,,3,4,,3
Hilton Boston Back Bay,review_198132997,5,5,5,5,5,4,5
"The Westin Copley Place, Boston",review_162984200,5,5,4,5,5,5,5
Taj Boston,review_144636940,5,5,5,4,5,5,4
Harborside Inn,review_132070329,5,5,5,5,4,5,4
Hotel Commonwealth,review_391227285,,,,,,,4
"The Westin Copley Place, Boston",review_229526626,,,,5,,,5
Courtyard Boston Logan Airport,review_116584773,5,,5,5,,5,5
Club Quarters Hotel in Boston,review_117543804,5,,5,5,,5,5
Taj Boston,review_411069511,,,,,,,4
Revere Hotel Boston Common,review_210650777,5,5,5,5,5,,5
Hyatt Regency Boston,review_419952130,,,,,,,4
The Midtown Hotel,review_346199471,3,4,3,3,3,4,2
"The Westin Copley Place, Boston",review_226914915,,,,4,5,5,4
DoubleTree by Hilton Hotel Boston - Downtown,review_213040415,,,,,,,4
Harborside Inn,review_48207856,3,4,4,4,3,,4
Renaissance Boston Waterfront Hotel,review_377570556,,,,,,,5
Loews Boston Hotel,review_344612894,5,,,5,,5,5
InterContinental Boston,review_157685601,4,5,4,4,4,4,4
The Westin Boston Waterfront,review_128665627,,,,,,,4
Seaport Boston Hotel,review_214430343,4,5,5,5,5,5,5
The Inn at Longwood Medical,review_53044948,1,2,1,1,1,,1
"Fairmont Copley Plaza, Boston",review_407833883,,,,,,,5
Embassy Suites by Hilton Boston - at Logan Airport,review_157105251,,,,,,,5
The Verb Hotel,review_372213358,,,,,,,4
Chandler Inn,review_139779046,4,5,5,5,5,5,4
Colonnade Hotel,review_156936445,4,5,5,5,4,5,5
Courtyard Boston Copley Square,review_144597715,2,4,4,3,3,2,3
Hilton Boston Downtown / Faneuil Hall,review_220989319,,,3,3,3,,3
Seaport Boston Hotel,review_333134914,1,,,4,,4,2
Lenox Hotel,review_232592656,,,,5,5,5,5
The Godfrey Hotel Boston,review_382731997,4,5,5,4,5,5,4
DoubleTree Suites by Hilton Boston-Cambridge,review_208634287,5,5,5,5,4,5,5
Revere Hotel Boston Common,review_162871469,4,4,5,5,5,5,5
Taj Boston,review_357206637,5,5,5,5,5,5,5
Omni Parker House,review_422775975,3,5,4,4,3,3,3
DoubleTree Suites by Hilton Boston-Cambridge,review_166454060,4,4,4,5,4,4,4
The Westin Boston Waterfront,review_157100211,5,5,5,5,5,5,5
Harborside Inn,review_141605831,1,4,5,3,2,3,1
Omni Parker House,review_321581818,,,3,3,2,,3
InterContinental Boston,review_368543555,5,5,5,5,5,5,5
"The Ritz-Carlton, Boston",review_153127807,4,5,5,5,5,5,5
The Westin Boston Waterfront,review_110965318,3,,5,5,,4,4
Revere Hotel Boston Common,review_188780423,5,5,5,5,5,5,5
Hotel Commonwealth,review_163776348,5,5,5,5,5,5,5
Omni Parker House,review_413764131,5,5,5,5,5,5,5
Seaport Boston Hotel,review_125206598,4,4,5,5,5,4,5
"Ames Boston Hotel, Curio Collection by Hilton",review_311629817,,,,,,,4
DoubleTree by Hilton Hotel Boston - Downtown,review_384636265,,5,,4,,5,4
"Fairmont Copley Plaza, Boston",review_126017608,5,5,5,5,5,5,5
Hotel Commonwealth,review_342463270,4,,5,5,,,5
Courtyard Boston Copley Square,review_232316569,,,5,5,,5,5
Hyatt Regency Boston,review_160804466,3,4,5,4,3,4,3
Omni Parker House,review_347717017,,,,,,,1
"The Westin Copley Place, Boston",review_134270135,4,5,5,5,5,5,5
"Fairmont Copley Plaza, Boston",review_47994028,3,4,4,2,3,,3
Harborside Inn,review_112442189,1,,5,3,,1,2
Eliot Hotel,review_204510900,,,,,,,2
Lenox Hotel,review_218026886,5,5,,5,,,5
Residence Inn Boston Back Bay/Fenway,review_371268240,,,,,,,5
Revere Hotel Boston Common,review_241242223,4,,,5,5,,5
Hyatt Regency Boston,review_33730765,,,,,,,4
Taj Boston,review_92260113,4,5,5,4,4,5,5
Copley House,review_133925473,2,5,2,2,2,2,2
The Midtown Hotel,review_355384854,,,,,,,4
The Bostonian Boston,review_2865838,2,,1,3,2,,4
Boston Harbor Hotel,review_207027975,5,5,5,5,5,5,5
InterContinental Boston,review_183498499,5,5,5,5,5,5,5
Residence Inn Boston Back Bay/Fenway,review_348287976,,,,,,,5
Holiday Inn Express Hotel & Suites Boston Garden,review_349521071,,5,,5,4,,4
Lenox Hotel,review_141790691,4,5,5,5,5,5,5
The Midtown Hotel,review_423120275,4,5,4,4,3,2,4
Chandler Inn,review_155093771,5,5,5,5,4,4,5
The Westin Boston Waterfront,review_271605921,,,,5,5,5,5
Hotel Commonwealth,review_175979696,4,4,4,4,5,4,4
Boston Hotel Buckminster,review_170165512,3,5,3,4,2,3,3
XV Beacon,review_126706601,5,5,5,5,5,5,5
Hotel Commonwealth,review_126068119,5,5,5,5,5,5,5
Hotel Commonwealth,review_108326482,4,5,5,5,5,5,5
Copley Square Hotel,review_197155249,5,5,5,5,5,5,5
"The Westin Copley Place, Boston",review_429008245,4,,5,5,,,5
Chandler Inn,review_351938660,,,3,3,,1,3
Colonnade Hotel,review_2840658,5,,5,5,5,,4
Revere Hotel Boston Common,review_363508233,,,,,,,5
DoubleTree Suites by Hilton Boston-Cambridge,review_425275341,3,5,5,5,5,5,5
Seaport Boston Hotel,review_143400496,4,5,5,5,5,4,5
Colonnade Hotel,review_133886293,4,5,5,5,5,5,5
Kimpton Onyx Hotel,review_3483659,5,,4,3,4,,4
Hilton Boston Back Bay,review_258809308,,5,,5,,5,4
DoubleTree Club by Hilton Hotel Boston Bayside,review_327305974,5,5,5,5,5,5,4
Club Quarters Hotel in Boston,review_235765540,,,5,5,,4,4
"The Westin Copley Place, Boston",review_293751989,3,,,4,,4,5
Hotel Boston,review_184441937,5,4,5,5,4,5,4
Hotel Boston,review_57801858,,3,1,,2,3,2
"The Westin Copley Place, Boston",review_118052550,4,5,,5,5,,5
XV Beacon,review_226836124,,5,,5,5,,5
Omni Parker House,review_427408097,,,,,,,3
Courtyard Boston Copley Square,review_272954815,,5,5,5,,,5
Renaissance Boston Waterfront Hotel,review_131981366,5,5,4,4,4,4,4
Lenox Hotel,review_124817605,5,5,5,5,5,,5
Boston Marriott Copley Place,review_354445931,5,,5,5,,,4
The Inn at Longwood Medical,review_422567422,,,,,,,3
Hyatt Regency Boston,review_137594119,3,5,5,5,5,,5
The Verb Hotel,review_417641283,,,,,,,5
Copley Square Hotel,review_269085001,,,4,4,,4,4
Hotel Commonwealth,review_356205598,,,,,,,5
Boston Marriott Copley Place,review_267994625,2,3,,4,,,3
Hilton Boston Logan Airport,review_98954536,3,4,5,3,4,3,4
Colonnade Hotel,review_156302140,5,5,5,5,4,5,5
BEST WESTERN PLUS Roundhouse Suites,review_173717027,3,4,4,3,4,4,4
Lenox Hotel,review_66992939,5,5,5,5,5,5,5
Club Quarters Hotel in Boston,review_263497001,,,,,,,4
W Boston,review_405631211,,,,,,,4
Seaport Boston Hotel,review_195371458,4,4,5,4,4,5,4
Four Seasons Hotel Boston,review_166753535,3,5,5,5,4,4,5
The Verb Hotel,review_407416053,,,,,,,4
enVision Hotel Boston - Longwood,review_212801950,5,4,5,5,5,,5
Hotel Commonwealth,review_372462760,,,5,2,4,,2
Hilton Boston Back Bay,review_375392810,3,4,4,4,4,4,4
"The Westin Copley Place, Boston",review_298089326,,,,,,,4
W Boston,review_117800706,4,,5,5,,4,4
DoubleTree Suites by Hilton Boston-Cambridge,review_350676650,,,,,,,5
The Bostonian Boston,review_324449404,,,,4,4,5,5
Residence Inn Boston Harbor on Tudor Wharf,review_205205268,5,5,5,5,5,5,5
The Inn At St Botolph,review_121888851,3,4,1,2,2,4,3
Lenox Hotel,review_123085681,5,5,5,5,4,5,5
Hilton Boston Downtown / Faneuil Hall,review_238276998,,5,,4,,5,5
Colonnade Hotel,review_362653400,4,5,,5,,,5
Renaissance Boston Waterfront Hotel,review_146170032,,,,,,,5
The Westin Boston Waterfront,review_362153531,,5,5,5,,,5
Holiday Inn Express Boston,review_210749432,5,4,5,5,5,5,5
Hotel Commonwealth,review_421206897,,5,5,5,,,5
Constitution Inn,review_386761142,,5,5,3,,,4
Hilton Garden Inn Boston Logan Airport,review_318422391,,4,,5,,4,5
Omni Parker House,review_189959753,5,5,5,5,5,5,5
Seaport Boston Hotel,review_424969226,5,5,5,5,5,5,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_7393202,4,5,4,4,5,,4
Hotel Commonwealth,review_183086199,5,5,5,5,5,5,5
The Godfrey Hotel Boston,review_373234473,5,5,5,5,5,5,5
Hyatt Regency Boston,review_139444062,5,5,5,5,5,5,5
Hilton Boston Logan Airport,review_168663477,3,5,5,5,5,5,4
Boston Marriott Copley Place,review_187561557,5,5,5,5,5,5,5
Kimpton Onyx Hotel,review_230494414,,,,,,,3
DoubleTree Suites by Hilton Boston-Cambridge,review_382660175,4,4,4,3,4,4,4
The Midtown Hotel,review_357315112,5,5,4,5,4,4,4
DoubleTree by Hilton Hotel Boston - Downtown,review_205992875,3,5,4,4,4,4,4
Courtyard Boston-South Boston,review_260628321,,3,4,1,,,2
The Boxer Boston,review_209729498,4,3,4,4,4,4,4
Club Quarters Hotel in Boston,review_5809615,5,4,5,3,5,,5
Colonnade Hotel,review_115046234,5,,5,5,,5,5
Kimpton Onyx Hotel,review_125082100,4,4,5,5,5,5,5
Four Seasons Hotel Boston,review_145038349,5,5,5,5,5,5,5
Lenox Hotel,review_118567473,5,5,5,5,5,5,5
Omni Parker House,review_257498066,,,,,,,4
"The Langham, Boston",review_274875708,5,5,,5,,,5
Omni Parker House,review_178095113,4,5,5,5,5,5,5
DoubleTree Club by Hilton Hotel Boston Bayside,review_240648196,3,1,3,4,3,3,3
Kimpton Nine Zero Hotel,review_116283796,4,,5,5,,5,5
